,Word,Frequency,Rank,Constant A
1,the,74219,1,0.06415589175470716
2,and,48919,2,0.08457246981900914
3,of,44821,3,0.11623160744571052
4,to,25248,4,0.08729882941149013
5,in,17461,5,0.07546760438222974
6,that,16081,6,0.08340378301842756
7,a,14522,7,0.08787107102538436
8,I,14091,8,0.09744358406505921
9,And,13172,9,0.10247446955276984
10,he,12307,10,0.10638334655885703
11,his,11020,11,0.10478418192788373
12,be,10768,12,0.1116960307869446
13,for,10227,13,0.1149246145148826
14,shall,10150,14,0.12283313192503116
15,not,9940,15,0.12888402512330857
16,was,9818,16,0.1357889586758571
17,unto,8930,17,0.13122658520435596
18,is,8908,18,0.13860348842637013
19,with,8704,19,0.14295321622261756
20,they,8037,20,0.13894579609872984
21,it,7807,21,0.14171796959685493
22,all,6991,22,0.1329484965259229
23,as,6582,23,0.13086007395920315
24,her,6564,24,0.13617621584054687
25,have,6484,25,0.14012139820582373
26,which,5729,26,0.12875782077945877
27,had,5683,27,0.1326364433195546
28,my,5553,28,0.13440243972013755
29,their,4934,29,0.12368544345267424
30,from,4931,30,0.1278726615458822
31,will,4748,31,0.12723126686686478
32,she,4658,32,0.12884599093749083
33,thou,4657,33,0.1328439025149241
34,thy,4478,34,0.13160865588916146
35,but,4392,35,0.13287761463417164
36,him,4321,36,0.1344646774787484
37,them,4224,37,0.1350974280246254
38,by,4183,38,0.13740195391985505
39,were,4127,39,0.13912991613462028
40,LORD,3930,40,0.13588577296702956
41,at,3792,41,0.13439206676036908
42,you,3763,42,0.13661706663070708
43,are,3667,43,0.1363015557710826
44,on,3575,44,0.1359722142984335
45,ye,3568,45,0.1387902017022027
46,when,3227,46,0.12831524116267048
47,said,3155,47,0.12817952827236626
48,this,3139,48,0.13024288285297886
49,upon,3005,49,0.12728053842576506
50,out,2841,50,0.12278991125932918
51,an,2714,51,0.11964690444948109
52,The,2685,52,0.12068938690621288
53,so,2635,53,0.12071964137220427
54,no,2622,54,0.12239055230824288
55,there,2541,55,0.12080608270360824
56,your,2538,56,0.12285733549782427
57,one,2495,57,0.12293253945614573
58,me,2467,58,0.12368544345267424
59,into,2380,59,0.12138091755744458
60,"him,",2321,60,0.12037819811315861
61,very,2286,61,0.12053897898956999
62,God,2242,62,0.12015690830476447
63,came,2239,63,0.12193154883848784
64,man,2220,64,0.12281584365875037
65,hath,2218,65,0.12462246748509319
66,up,2205,66,0.1257980695921871
67,or,2140,67,0.12393958096700189
68,before,2136,68,0.1255543050376279
69,we,2135,69,0.12734104735774782
70,any,2127,70,0.12870249832736025
71,would,2066,71,0.1267973313832169
72,But,2065,72,0.12852097153141193
73,every,2040,73,0.12872843072678142
74,do,1989,74,0.1272295380402367
