home,Avg_Score
Abahani Limited,172.0
Abbottabad Falcons,137.86666666666667
Abbottabad Region,186.5
Abbottabad Rhinos,165.0
Adelaide Strikers,168.16666666666669
Afghanistan,143.5193236714976
Andhra,131.275
Antigua,146.0
Antigua Hawksbills,106.0
Antigua and Barbuda,153.0
Assam,139.88888888888889
Auckland,162.50986842105263
Australia,154.06433823529412
Australia A,174.0
Azad Jammu & Kashmir Region,123.0
Badureliya Sports Club,151.1904761904762
Bahawalpur Region,154.0
Bahawalpur Stags,149.16666666666666
Baluchistan,217.0
Bangladesh,145.80357142857144
Bangladesh A,166.0
Bangladesh XI,132.0
Barbados,122.80952380952382
Barbados Tridents,135.70833333333331
Barisal Bulls,157.75
Barisal Burners,158.5625
Barisal Division,118.0
Baroda,148.0051282051282
Basnahira,136.5
Basnahira Cricket Dundee,129.0
Basnahira Greens,139.0
Basnahira North,123.75
Basnahira South,133.46666666666667
Bengal,145.475
Bermuda,149.5
Bloomfield Cricket and Athletic Club,131.1
Boland,147.875
Border,135.7
Brisbane Heat,178.15
Burgher Recreation Club,132.4
Canada,130.4142857142857
Canterbury,163.34343434343435
Cape Cobras,153.3114973262032
Central Districts,164.60833333333335
Centrals,119.75
Chennai Super Kings,164.49166666666667
Chilaw Marians Cricket Club,145.38888888888889
Chittagong Kings,159.1
Chittagong Vikings,162.5
Colombo Commandos,155.0
Colombo Cricket Club,161.75
Colts Cricket Club,154.925
Combined Campuses and Colleges,134.5
Combined Provinces,156.0
Comilla Victorians,142.48888888888888
Deccan Chargers,148.45833333333331
Delhi,146.13533834586465
Delhi Daredevils,158.0
Derbyshire,159.575
Dhaka Division,132.33333333333334
Dhaka Dynamites,136.25
Dhaka Gladiators,163.77777777777777
Dhaka Metropolis,168.5
Dolphins,152.68716577540107
Durham,153.36842105263156
Duronto Rajshahi,157.5
Eagles,147.92857142857144
Eastern Cape,116.0
Eastern Province,133.64285714285714
Easterns,166.6
Easterns (Zimbabwe),144.25
England,157.42708333333331
England Lions,153.0
Essex,167.3409090909091
FATA Cheetas,140.0
Faisalabad Wolves,148.90238095238095
Federally Administered Tribal Areas,139.5
Free State,153.83333333333331
Galle Cricket Club,109.0
Galle Guardians,145.33333333333334
Gauteng,131.15
Glamorgan,149.97954545454547
Gloucestershire,161.13636363636363
Goa,154.9
Grenada,70.0
Griqualand West,139.75
Gujarat,153.84615384615387
Gujarat Lions,161.0
Guyana,137.9
Guyana Amazon Warriors,156.1346153846154
Habib Bank Limited,135.25
Hambantota Troopers,132.5
Hampshire,155.81155303030303
Haryana,138.15
Himachal Pradesh,138.45
