Airport,City,Continent,Country,IATA/FAA,Latitude,Longitude
Bamiyan,Bamiyan,Asia,Afghanistan,BIN,34.804167,67.823611
Bost,Bost,Asia,Afghanistan,BST,31.55,64.366667
Chakcharan,Chakcharan,Asia,Afghanistan,CCN,34.533333,65.266667
Farah,Farah,Asia,Afghanistan,FAH,32.366667,62.116667
Faizabad,Faizabad,Asia,Afghanistan,FBD,37.1,70.566667
Herat,Herat,Asia,Afghanistan,HEA,34.206944,62.226667
Jalalabad,Jalalabad,Asia,Afghanistan,JAA,34.399167,70.499444
Kabul,Kabul,Asia,Afghanistan,KBL,34.563889,69.213889
Kandahar,Kandahar,Asia,Afghanistan,KDH,31.506944,65.8475
Maimana,Maimana,Asia,Afghanistan,MMZ,35.916667,64.733333
Mazar-I-Sharif,Mazar-I-Sharif,Asia,Afghanistan,MZR,36.704167,67.208333
Sharana Airstrip,Sharana,Asia,Afghanistan,OAS,33.126028,68.838639
Tirinkot,Tirinkot,Asia,Afghanistan,TII,32.615448,65.864153
Kunduz,Kunduz,Asia,Afghanistan,UND,36.660556,68.909167
Zaranj,Zaranj,Asia,Afghanistan,ZAJ,31.1,61.983333
Yerevan,Yerevan,Asia,Armenia,EVN,40.15,44.4
Gyoumri,Gyoumri,Asia,Armenia,LWN,40.751667,43.86
Baku Heydar Aliyev International,Baku,Asia,Azerbaijan,GYD,40.470457,50.047531
Gyandzha,Gyandzha,Asia,Azerbaijan,KVD,40.733333,46.316667
Lankaran International,Lankaran,Asia,Azerbaijan,LLK,38.74203,48.824093
Nakhichevan,Nakhichevan,Asia,Azerbaijan,NAJ,39.190278,45.458889
Qabala,Qabala,Asia,Azerbaijan,GBB,40.826667,47.7125
Barisal,Barisal,Asia,Bangladesh,BZL,22.8,90.3
Chittagong,Chittagong,Asia,Bangladesh,CGP,22.2575,91.825556
Cox's Bazar,Cox's Bazar,Asia,Bangladesh,CXB,21.45,91.966667
Dhaka,Dhaka,Asia,Bangladesh,DAC,23.84333,90.39778
Jessore,Jessore,Asia,Bangladesh,JSR,23.181111,89.163889
Rajshahi,Rajshahi,Asia,Bangladesh,RJH,24.433333,88.616667
Saidpur,Saidpur,Asia,Bangladesh,SPD,25.783333,88.9
Sylhet,Sylhet,Asia,Bangladesh,ZYL,24.958889,91.874444
Paro,Paro,Asia,Bhutan,PBH,27.433333,89.416667
Baise,Baise,Asia,China,AEB,23.7172,106.9506
Aba/Hongyuan,Aba/Hongyuan,Asia,China,AHJ,32.529167,102.356944
Arxan Airport,Arxan,Asia,China,YIE,47.1777,119.944
Bijie Feixiong,Bijie,Asia,China,BFJ,27.300278,105.301389
Beijing Nanyuan,Beijing,Asia,China,NAY,40.073611,116.608333
Beijing Capital,Beijing,Asia,China,PEK,40.066667,116.6
Bole Alashankou,Bole,Asia,China,BPL,44.904167,82.024167
Ba Tong,Ba Tong,Asia,China,YUS,32.83641,97.037025
Burqin,Burqin,Asia,China,KJI,48.22111,86.998055
Altay,Altay,Asia,China,AAT,47.75223,88.08738
