Airline_ID,Airline_Name,Destination_Airport,Destination_Airport_ID,Source_Airport,Source_Airport_ID
840,Air Algerie,YUL,96268,AAE,40005
2041,Aigle Azur,MRS,68483,AAE,40005
840,Air Algerie,LHR,65698,AAE,40005
1001,Norwegian,BOS,42995,AAL,40012
1001,Norwegian,BKK,42795,AAL,40012
1001,Norwegian,TLV,84326,AAL,40012
1001,Norwegian,LCA,65441,AAL,40012
7,Vueling Airlines,BCN,42414,AAL,40012
1001,Norwegian,CPH,45336,AAL,40012
1001,Norwegian,SJJ,81914,AAL,40012
1001,Norwegian,DBV,46982,AAL,40012
1001,Norwegian,MLA,68177,AAL,40012
1001,Norwegian,DUB,47874,AAL,40012
1001,Norwegian,SVG,82487,AAL,40012
471,Jet Airways,COK,45291,AAN,40014
1892,Nile Air,CAI,44617,AAN,40014
1468,Shaheen Air,PEW,74775,AAN,40014
288,Etihad Airways,JED,60932,AAN,40014
288,Etihad Airways,DOH,47592,AAN,40014
1913,Oman Air,IKA,58913,AAN,40014
288,Etihad Airways,BEY,42521,AAN,40014
288,Etihad Airways,DTW,47847,AAN,40014
288,Etihad Airways,CTU,45541,AAN,40014
288,Etihad Airways,MLE,68181,AAN,40014
288,Etihad Airways,DME,47493,AAN,40014
288,Etihad Airways,TLS,84323,AAN,40014
1687,S7 Airlines,LHR,65698,AAQ,40017
857,Finnair,BKK,42795,AAR,40018
1707,SAS,SIN,81870,AAR,40018
1707,SAS,KEF,63238,AAR,40018
1755,Turkish Airlines,BEY,42521,AAR,40018
1707,SAS,WAW,90711,AAR,40018
1707,SAS,HEL,56332,AAR,40018
1707,SAS,VIE,88773,AAR,40018
1707,SAS,AGP,40304,AAR,40018
1707,SAS,LUX,66328,AAR,40018
1707,SAS,FAO,51535,AAR,40018
1707,SAS,TLL,84316,AAR,40018
1707,SAS,OTP,73184,AAR,40018
881,British Airways,BMA,42881,AAR,40018
1707,SAS,ARN,40830,AAR,40018
1707,SAS,CPH,45336,AAR,40018
1707,SAS,BLQ,42849,AAR,40018
1515,Czech Airlines,BUD,43268,AAR,40018
1515,Czech Airlines,SPU,82213,AAR,40018
1707,SAS,MLA,68177,AAR,40018
1707,SAS,ATH,40920,AAR,40018
1707,SAS,DUB,47874,AAR,40018
1707,SAS,AMS,40595,AAR,40018
881,British Airways,OSL,73132,AAR,40018
1707,SAS,OSL,73132,AAR,40018
1707,SAS,RIX,79576,AAR,40018
1707,SAS,FAE,51525,AAR,40018
1707,SAS,BRU,43141,AAR,40018
1707,SAS,ZRH,98424,AAR,40018
1707,SAS,CDG,44759,AAR,40018
1707,SAS,VNO,89023,AAR,40018
1515,Czech Airlines,PRG,75383,AAR,40018
1707,SAS,DUS,47891,AAR,40018
1755,Turkish Airlines,IKA,58913,AAR,40018
1755,Turkish Airlines,KIV,63446,AAR,40018
1687,S7 Airlines,AMM,40589,ABA,40049
1687,S7 Airlines,DOH,47592,ABA,40049
1687,S7 Airlines,TLV,84326,ABA,40049
1687,S7 Airlines,LCA,65441,ABA,40049
1687,S7 Airlines,DXB,48018,ABA,40049
1717,Aeroflot,JFK,60987,ABA,40049
1687,S7 Airlines,TIV,84182,ABA,40049
1687,S7 Airlines,FRU,52357,ABA,40049
1687,S7 Airlines,LBD,65396,ABA,40049
1687,S7 Airlines,ASB,40866,ABA,40049
1687,S7 Airlines,FEG,51719,ABA,40049
1687,S7 Airlines,ALA,40529,ABA,40049
1687,S7 Airlines,KUT,64020,ABA,40049
1687,S7 Airlines,EVN,50238,ABA,40049
1687,S7 Airlines,OVB,73266,ABA,40049
1687,S7 Airlines,VIE,88773,ABA,40049
1687,S7 Airlines,IBZ,58506,ABA,40049
1687,S7 Airlines,LIS,65747,ABA,40049
1687,S7 Airlines,NAP,69968,ABA,40049
1687,S7 Airlines,PUY,75545,ABA,40049
1687,S7 Airlines,KGS,63347,ABA,40049
1687,S7 Airlines,VAR,88402,ABA,40049
1687,S7 Airlines,LHR,65698,ABA,40049
1687,S7 Airlines,MSQ,68529,ABA,40049
1687,S7 Airlines,TXL,84892,ABA,40049
1687,S7 Airlines,SIP,81872,ABA,40049
