Airline_Code,Airline_ID,Airline_Name_x,Destination_Airport,Destination_Airport_ID,Source_Airport,Source_Airport_ID,Airport_start,City_start,Continent_start,Country_start,Latitude_start,Longitude_start,Airports_ID_start,Airport_end,City_end,Continent_end,Country_end,Latitude_end,Longitude_end,Airports_ID_end,Airline_Name_y,IATA,Airline_HQ,Active,Distance(km)
AA,24,,JFK,3797,BOS,3448,Boston Logan International,Boston,North America,United States,42.365,-71.005278,2717,New York John F. Kennedy,New York,North America,United States,40.638611,-73.776944,3109,American Airlines,AA,United States,Y,300.5
AA,24,,CLT,3876,BOS,3448,Boston Logan International,Boston,North America,United States,42.365,-71.005278,2717,Charlotte Douglas,Charlotte,North America,United States,35.219167,-80.935833,2767,American Airlines,AA,United States,Y,1170.5
AA,24,,PHL,3752,BOS,3448,Boston Logan International,Boston,North America,United States,42.365,-71.005278,2717,Philadelphia International,Philadelphia,North America,United States,39.871666999999995,-75.242222,3148,American Airlines,AA,United States,Y,450.78
AA,24,,ORD,3830,BOS,3448,Boston Logan International,Boston,North America,United States,42.365,-71.005278,2717,Chicago O'Hare International,Chicago,North America,United States,41.978056,-87.906111,2749,American Airlines,AA,United States,Y,1394.84
AA,24,,DFW,3670,BOS,3448,Boston Logan International,Boston,North America,United States,42.365,-71.005278,2717,Dallas Fort Worth International,Dallas,North America,United States,32.894444,-97.029723,2797,American Airlines,AA,United States,Y,2512.85
AA,24,,LAX,3484,BOS,3448,Boston Logan International,Boston,North America,United States,42.365,-71.005278,2717,Los Angeles International,Los Angeles,North America,United States,33.942221999999994,-118.40722199999999,3015,American Airlines,AA,United States,Y,4202.15
AA,24,,PHX,3462,BOS,3448,Boston Logan International,Boston,North America,United States,42.365,-71.005278,2717,Phoenix Sky Harbor,Phoenix,North America,United States,33.43316,-112.01179499999999,3153,American Airlines,AA,United States,Y,3701.5
AA,24,,PDX,3720,BOS,3448,Boston Logan International,Boston,North America,United States,42.365,-71.005278,2717,Portland,Portland,North America,United States,45.589166999999996,-122.595,3139,American Airlines,AA,United States,Y,4083.08
AA,24,,SAN,3731,BOS,3448,Boston Logan International,Boston,North America,United States,42.365,-71.005278,2717,San Diego International,San Diego,North America,United States,32.732778,-117.18722199999999,3212,American Airlines,AA,United States,Y,4164.35
AA,24,,SEA,3577,BOS,3448,Boston Logan International,Boston,North America,United States,42.365,-71.005278,2717,Seattle / Tacoma International,Seattle,North America,United States,47.447222,-122.30555600000001,3228,American Airlines,AA,United States,Y,4016.16
AA,24,,MIA,3576,BOS,3448,Boston Logan International,Boston,North America,United States,42.365,-71.005278,2717,Miami International,Miami,North America,United States,25.7925,-80.286111,3059,American Airlines,AA,United States,Y,2024.98
AA,24,,DCA,3520,BOS,3448,Boston Logan International,Boston,North America,United States,42.365,-71.005278,2717,Washington Ronald Reagan,Washington,North America,United States,38.8517,-77.0369,3322,American Airlines,AA,United States,Y,642.2
AA,24,,PIT,3570,BOS,3448,Boston Logan International,Boston,North America,United States,42.365,-71.005278,2717,Pittsburgh Int'l Apt.,Pittsburgh,North America,United States,40.496666999999995,-80.235833,3159,American Airlines,AA,United States,Y,798.49
AA,24,,SYR,3745,BOS,3448,Boston Logan International,Boston,North America,United States,42.365,-71.005278,2717,Syracuse,Syracuse,North America,United States,43.110556,-76.1025,3273,American Airlines,AA,United States,Y,425.46
AA,24,,BUF,3820,BOS,3448,Boston Logan International,Boston,North America,United States,42.365,-71.005278,2717,Buffalo Niagara,Buffalo,North America,United States,42.941111,-78.736389,2728,American Airlines,AA,United States,Y,636.93
AA,24,,LGA,3697,BOS,3448,Boston Logan International,Boston,North America,United States,42.365,-71.005278,2717,New York LaGuardia,New York,North America,United States,40.779444,-73.875833,3110,American Airlines,AA,United States,Y,297.17
AA,24,,RIC,3608,BOS,3448,Boston Logan International,Boston,North America,United States,42.365,-71.005278,2717,Richmond,Richmond,North America,United States,37.506111,-77.3225,3195,American Airlines,AA,United States,Y,762.86
AA,24,,ROC,3622,BOS,3448,Boston Logan International,Boston,North America,United States,42.365,-71.005278,2717,Rochester,Rochester,North America,United States,43.121389,-77.670833,3202,American Airlines,AA,United States,Y,552.05
AA,24,,MDT,3542,BOS,3448,Boston Logan International,Boston,North America,United States,42.365,-71.005278,2717,Harrisburg International,Harrisburg,North America,United States,40.193056,-76.762222,2890,American Airlines,AA,United States,Y,539.1
DL,2009,,MYR,3515,BOS,3448,Boston Logan International,Boston,North America,United States,42.365,-71.005278,2717,Myrtle Beach AFB,Myrtle Beach,North America,United States,33.679167,-78.929722,3097,Delta Air Lines,DL,United States,Y,1187.74
DL,2009,,MSP,3858,BOS,3448,Boston Logan International,Boston,North America,United States,42.365,-71.005278,2717,Minneapolis St Paul,Minneapolis,North America,United States,44.886111,-93.21777800000001,3087,Delta Air Lines,DL,United States,Y,1808.65
DL,2009,,SLC,3536,BOS,3448,Boston Logan International,Boston,North America,United States,42.365,-71.005278,2717,Salt Lake City,Salt Lake City,North America,United States,40.797437,-111.979523,3244,Delta Air Lines,DL,United States,Y,3388.11
DL,2009,,CVG,3488,BOS,3448,Boston Logan International,Boston,North America,United States,42.365,-71.005278,2717,Cincinnati Northern Kentucky,Cincinnati,North America,United States,39.047778,-84.668611,2783,Delta Air Lines,DL,United States,Y,1210.38
DL,2009,,CMH,3759,BOS,3448,Boston Logan International,Boston,North America,United States,42.365,-71.005278,2717,Port Columbus,Columbus,North America,United States,39.991111,-82.878333,2769,Delta Air Lines,DL,United States,Y,1029.57
DL,2009,,IND,3585,BOS,3448,Boston Logan International,Boston,North America,United States,42.365,-71.005278,2717,Indianapolis,Indianapolis,North America,United States,39.728889,-86.281667,2935,Delta Air Lines,DL,United States,Y,1315.34
9K,1629,,HYA,4278,BOS,3448,Boston Logan International,Boston,North America,United States,42.365,-71.005278,2717,Hyannis,Hyannis,North America,United States,41.665833,-70.280556,2920,Cape Air,9K,United States,Y,98.15
9K,1629,,MVY,4265,BOS,3448,Boston Logan International,Boston,North America,United States,42.365,-71.005278,2717,Martha's Vineyard,Martha's Vineyard,North America,United States,41.392778,-70.616667,3095,Cape Air,9K,United States,Y,112.7
