Average_Price,Destination,Source,Weekend_Date
553.0,MSP,BOS,2017-16
246.0,MSP,BOS,2017-17
246.0,MSP,BOS,2017-18
266.0,MSP,BOS,2017-19
265.0,MSP,BOS,2017-20
246.0,MSP,BOS,2017-21
246.0,MSP,BOS,2017-22
266.0,MSP,BOS,2017-23
316.0,MSP,BOS,2017-24
316.0,MSP,BOS,2017-25
295.0,MSP,BOS,2017-26
316.0,MSP,BOS,2017-27
317.0,MSP,BOS,2017-28
317.0,MSP,BOS,2017-29
315.0,MSP,BOS,2017-30
316.0,MSP,BOS,2017-31
317.0,MSP,BOS,2017-32
315.0,MSP,BOS,2017-33
0.0,MSP,BOS,2017-34
601.0,IND,BOS,2017-16
489.0,IND,BOS,2017-17
676.0,IND,BOS,2017-18
322.0,IND,BOS,2017-19
408.0,IND,BOS,2017-20
402.0,IND,BOS,2017-21
0.0,IND,BOS,2017-22
877.0,IND,BOS,2017-23
571.0,IND,BOS,2017-24
440.0,IND,BOS,2017-25
0.0,IND,BOS,2017-26
0.0,IND,BOS,2017-27
355.0,IND,BOS,2017-28
0.0,IND,BOS,2017-29
0.0,IND,BOS,2017-30
0.0,IND,BOS,2017-31
0.0,IND,BOS,2017-32
1143.0,IND,BOS,2017-33
0.0,IND,BOS,2017-34
0.0,SLC,BOS,2017-16
369.0,SLC,BOS,2017-17
298.0,SLC,BOS,2017-18
275.0,SLC,BOS,2017-19
314.0,SLC,BOS,2017-20
481.5,SLC,BOS,2017-21
343.5,SLC,BOS,2017-22
413.0,SLC,BOS,2017-23
471.0,SLC,BOS,2017-24
508.0,SLC,BOS,2017-25
0.0,SLC,BOS,2017-26
514.0,SLC,BOS,2017-27
0.0,SLC,BOS,2017-28
474.0,SLC,BOS,2017-29
475.0,SLC,BOS,2017-30
0.0,SLC,BOS,2017-31
0.0,SLC,BOS,2017-32
0.0,SLC,BOS,2017-33
393.0,SLC,BOS,2017-34
1256.0,MYR,BOS,2017-16
494.0,MYR,BOS,2017-17
494.0,MYR,BOS,2017-18
356.0,MYR,BOS,2017-19
407.0,MYR,BOS,2017-20
435.0,MYR,BOS,2017-21
247.0,MYR,BOS,2017-22
266.0,MYR,BOS,2017-23
377.0,MYR,BOS,2017-24
0.0,MYR,BOS,2017-25
0.0,MYR,BOS,2017-26
376.0,MYR,BOS,2017-27
355.0,MYR,BOS,2017-28
0.0,MYR,BOS,2017-29
0.0,MYR,BOS,2017-30
377.0,MYR,BOS,2017-31
375.0,MYR,BOS,2017-32
415.0,MYR,BOS,2017-33
325.0,MYR,BOS,2017-34
769.0,CVG,BOS,2017-16
453.0,CVG,BOS,2017-17
625.0,CVG,BOS,2017-18
387.0,CVG,BOS,2017-19
339.0,CVG,BOS,2017-20
417.0,CVG,BOS,2017-21
2746.0,CVG,BOS,2017-22
2840.0,CVG,BOS,2017-23
341.0,CVG,BOS,2017-24
266.0,CVG,BOS,2017-25
332.0,CVG,BOS,2017-26
410.0,CVG,BOS,2017-27
363.0,CVG,BOS,2017-28
2942.0,CVG,BOS,2017-29
0.0,CVG,BOS,2017-30
2914.0,CVG,BOS,2017-31
0.0,CVG,BOS,2017-32
0.0,CVG,BOS,2017-33
326.0,CVG,BOS,2017-34
779.0,CMH,BOS,2017-16
438.0,CMH,BOS,2017-17
488.0,CMH,BOS,2017-18
349.0,CMH,BOS,2017-19
408.0,CMH,BOS,2017-20
406.0,CMH,BOS,2017-21
287.0,CMH,BOS,2017-22
339.0,CMH,BOS,2017-23
0.0,CMH,BOS,2017-24
460.0,CMH,BOS,2017-25
416.0,CMH,BOS,2017-26
3231.0,CMH,BOS,2017-27
0.0,CMH,BOS,2017-28
0.0,CMH,BOS,2017-29
0.0,CMH,BOS,2017-30
0.0,CMH,BOS,2017-31
348.0,CMH,BOS,2017-32
0.0,CMH,BOS,2017-33
0.0,CMH,BOS,2017-34
671.0,MIA,BOS,2017-16
560.0,MIA,BOS,2017-17
455.0,MIA,BOS,2017-18
382.0,MIA,BOS,2017-19
523.0,MIA,BOS,2017-20
673.0,MIA,BOS,2017-21
352.0,MIA,BOS,2017-22
300.0,MIA,BOS,2017-23
322.0,MIA,BOS,2017-24
368.0,MIA,BOS,2017-25
448.0,MIA,BOS,2017-26
331.0,MIA,BOS,2017-27
469.0,MIA,BOS,2017-28
440.0,MIA,BOS,2017-29
511.0,MIA,BOS,2017-30
0.0,MIA,BOS,2017-31
393.0,MIA,BOS,2017-32
449.0,MIA,BOS,2017-33
405.0,MIA,BOS,2017-34
417.0,JFK,BOS,2017-16
215.0,JFK,BOS,2017-17
154.0,JFK,BOS,2017-18
169.0,JFK,BOS,2017-19
163.0,JFK,BOS,2017-20
169.0,JFK,BOS,2017-21
117.0,JFK,BOS,2017-22
154.0,JFK,BOS,2017-23
130.0,JFK,BOS,2017-24
198.0,JFK,BOS,2017-25
153.0,JFK,BOS,2017-26
156.0,JFK,BOS,2017-27
131.0,JFK,BOS,2017-28
117.0,JFK,BOS,2017-29
130.0,JFK,BOS,2017-30
118.0,JFK,BOS,2017-31
117.0,JFK,BOS,2017-32
0.0,JFK,BOS,2017-33
118.0,JFK,BOS,2017-34
646.0,DFW,BOS,2017-16
313.0,DFW,BOS,2017-17
209.0,DFW,BOS,2017-18
208.0,DFW,BOS,2017-19
209.0,DFW,BOS,2017-20
307.5,DFW,BOS,2017-21
189.0,DFW,BOS,2017-22
209.0,DFW,BOS,2017-23
224.0,DFW,BOS,2017-24
294.0,DFW,BOS,2017-25
239.0,DFW,BOS,2017-26
259.0,DFW,BOS,2017-27
259.0,DFW,BOS,2017-28
259.0,DFW,BOS,2017-29
248.0,DFW,BOS,2017-30
0.0,DFW,BOS,2017-31
258.0,DFW,BOS,2017-32
0.0,DFW,BOS,2017-33
0.0,DFW,BOS,2017-34
